Date,Weekday,Time,Office Hours,Brief Description,Place of Incident,Office,Site of Incident,Business Impact,Division,BU / Account affected,Line Manager,Operational Security Manager,Resolve (Hrs),Resolve (Days)
30/09/2012,TRUE,19:05,FALSE,Stolen Laptop,Office 8,TRUE,MAN35,None,Public Sector,Post Office Ltd,Marisa Anchondo  ,Octavio Angert  ,61,2.54
24/04/2014,FALSE,05:36,FALSE,Lost Peripheral,Area 3,FALSE,EDI06,Minor,Private Sector,Mercedes-Benz Uk Ltd.,Cecille Haubert  ,Octavio Angert  ,77,3.21
29/01/2015,FALSE,18:29,TRUE,Lost USB drive,Area 5,FALSE,BRA01,Major,MIS,Whitbread Group Plc,Irma Zamorano  ,Bob Luthy  ,159,6.63
12/04/2015,TRUE,15:26,FALSE,Lost USB drive,Office 5,TRUE,WAK01,None,Private Sector,UK Border Agency,Shila Bentler  ,Lyle Griswold  ,142,5.92
01/07/2014,FALSE,00:16,FALSE,Stolen Peripheral,Area 9,FALSE,CRE02,Minor,Marketing,McDonalds Restaurants Ltd.,Arlena Pierpont  ,Leonardo Mcclane  ,213,8.88
12/01/2014,TRUE,15:21,FALSE,Suspicious Character,Area 4,FALSE,SOL20,Minor,HR,Bridgestone UK,Jonathan Wray  ,Pablo Gowers  ,36,1.5
18/03/2015,FALSE,22:15,FALSE,Lost USB drive,Area 5,FALSE,SOL10,None,Business Operations,Halfords Ltd.,Gregory Bieber  ,Raul Holmquist  ,43,1.79
28/03/2014,FALSE,21:19,FALSE,Tailgating,Office 8,TRUE,EDI06,None,"Commercial, Legal",Environment Agency,Julius Huntsberry  ,Raul Holmquist  ,192,8
27/05/2014,FALSE,00:12,FALSE,Unsecured Cabinet,Area 9,FALSE,CRE02,Minor,HMRC,Halfords Ltd.,China Thurlow  ,Bob Luthy  ,46,1.92
13/05/2013,FALSE,12:27,TRUE,Stolen USB drive,Area 4,FALSE,SOL20,Minor,HR,Ford Motor Company ltd,Marlin Southwood  ,Pasquale Sonntag  ,63,2.63
12/06/2012,FALSE,13:54,TRUE,Tailgating,Area 1,FALSE,WAR03,Minor,Private Sector,Home Group Limited,Harry Hoke  ,Foster Wax  ,34,1.42
04/07/2013,FALSE,14:07,TRUE,Lost Peripheral,Area 1,FALSE,SOL10,None,DNS,NI Library Authority,Jacqueline Schoepp  ,Leonardo Mcclane  ,229,9.54
03/07/2012,FALSE,03:32,FALSE,Stolen Laptop,Office 14,TRUE,STE04,Minor,HR,Office for National Statistics,Wesley Kitt  ,Quinton Claudio  ,44,1.83
15/07/2014,FALSE,20:32,FALSE,Stolen Laptop,Area 2,FALSE,SOL10,None,N&T,Scottish Water,Vance Mcmanis  ,Damion Hope  ,470,19.58
01/08/2014,FALSE,03:56,FALSE,Stolen RHD,Area 4,FALSE,SOL10,None,MIS,HPC Wales,Cher Welter  ,Van Fessenden  ,68,2.83
30/06/2014,FALSE,22:28,FALSE,Lost Peripheral,Office 14,TRUE,CRE02,Major,HMRC,Ministry of Defence - MoD,Abel Liss  ,Rueben Bosarge  ,19,0.79
16/07/2015,FALSE,16:55,TRUE,Brief Descriptions,Office 11,TRUE,WAR08,None,N&T,HSBC,Neta Veres  ,Jamal Lacross  ,101,4.21
14/03/2015,TRUE,08:16,FALSE,Stolen Desktop,Office 4,TRUE,SOL20,None,Marketing,Post Office Ltd,Jacqueline Schoepp  ,Douglass Dill  ,43,1.79
12/12/2013,FALSE,08:54,TRUE,Stolen Peripheral,Office 16,TRUE,BSN01,None,Business Operations,Highland Council,Shila Bentler  ,Lyle Griswold  ,49,2.04
05/11/2014,FALSE,08:33,TRUE,Brief Descriptions,Office 5,TRUE,WAR08,Major,Private Sector,HPC Wales,Stanley Bosch  ,Pablo Gowers  ,112,4.67
12/03/2018,FALSE,20:46,FALSE,Lost Desktop,Office 11,TRUE,TEL15,Significant,HMRC,UK Border Agency,Tanner Pecor  ,Douglass Dill  ,205,8.54
03/09/2013,FALSE,00:30,FALSE,Brief Descriptions,Office 9,TRUE,MAN35,None,MIS,Specsavers,Deidra Mayes  ,Bob Luthy  ,7,0.29
09/02/2014,TRUE,08:23,FALSE,Tailgating,Office 9,TRUE,BSN01,Major,ROI,McDonalds Restaurants Ltd.,Santina Mayr  ,Lyle Griswold  ,57,2.38
12/07/2015,TRUE,01:57,FALSE,Brief Descriptions,Area 10,FALSE,MAN34,Significant,N&T,Bridgestone UK,Efrain Hauk  ,Rueben Bosarge  ,186,7.75
07/05/2015,FALSE,10:11,TRUE,Stolen Peripheral,Office 11,TRUE,MAN34,Major,TPG,Dublin City Council,Nick Carter  ,Mary Clowers  ,92,3.83
21/09/2015,FALSE,16:53,TRUE,Unsecured Cabinet,Area 11,FALSE,WAR08,None,Public Sector,Reading Borough Council,Vivan Truelove  ,Leonardo Mcclane  ,29,1.21
10/06/2013,FALSE,15:33,TRUE,Stolen USB drive,Area 4,FALSE,STE10,None,Private Sector,NI Library Authority,Tim Pinckard  ,Van Fessenden  ,115,4.79
14/06/2013,FALSE,09:43,TRUE,Suspicious Character,Office 10,TRUE,SOL10,Minor,"Commercial, Legal",British American Tobacco Plc,Stanley Bosch  ,Dewayne Robichaux  ,162,6.75
17/02/2014,FALSE,17:49,TRUE,Tailgating,Reception,FALSE,EDI06,None,Public Sector,Ministry of Defence - MoD,Bret Orosz  ,Leonardo Mcclane  ,126,5.25
17/05/2013,FALSE,18:53,TRUE,Lost USB drive,Area 8,FALSE,SOL10,None,HMRC,High Speed 2 Ltd.,Marisa Anchondo  ,Douglass Dill  ,35,1.46
28/02/2015,TRUE,02:05,FALSE,Lost RHD,Area 2,FALSE,WAR03,Minor,MIS,Ministry of Defence - MoD,Vance Mcmanis  ,Pasquale Sonntag  ,367,15.29
13/10/2015,FALSE,16:29,TRUE,Suspicious Character,Office 12,TRUE,SOL10,Minor,ROI,British American Tobacco Plc,Chantel Lemaire  ,Damion Hope  ,96,4
26/05/2013,TRUE,15:44,FALSE,Suspicious Character,Office 20,TRUE,WAR03,None,TPG,Mercedes-Benz Uk Ltd.,Jonathan Wray  ,Sterling Raske  ,156,6.5
05/02/2011,TRUE,23:19,FALSE,Lost Desktop,Office 17,TRUE,STE04,None,HMRC,Dublin City Council,Candra Snowball  ,Quinton Claudio  ,71,2.96
09/06/2015,FALSE,06:40,FALSE,Stolen Laptop,Area 10,FALSE,MAN33,Minor,HMRC,MOD - DFTS,Vance Mcmanis  ,Quinton Claudio  ,124,5.17
05/02/2015,FALSE,15:33,TRUE,Suspicious Character,Area 2,FALSE,BRA07,Significant,ROI,High Speed 2 Ltd.,Juan Bernett  ,Foster Wax  ,167,6.96
11/05/2015,FALSE,03:17,FALSE,Stolen Laptop,Office 18,TRUE,MAN33,Minor,DNS,Dublin City Council,Chae Sather  ,Sterling Raske  ,12,0.5
28/06/2014,TRUE,10:41,FALSE,Stolen USB drive,Area 2,FALSE,STE04,Significant,HR,PZ Cussons,Jacqueline Schoepp  ,Pablo Gowers  ,19,0.79
14/01/2013,FALSE,14:57,TRUE,Stolen Laptop,Office 18,TRUE,MAN33,Minor,HR,Mercedes-Benz Uk Ltd.,Vivan Truelove  ,Damion Hope  ,214,8.92
15/05/2012,FALSE,13:53,TRUE,Tailgating,Area 1,FALSE,BSN01,Minor,Public Sector,PZ Cussons,Tanner Pecor  ,Douglass Dill  ,48,2
27/09/2012,FALSE,03:20,FALSE,Lost Peripheral,Area 9,FALSE,BSN01,Major,"Commercial, Legal",HSBC,Shila Bentler  ,Foster Wax  ,65,2.71
25/01/2014,TRUE,02:13,FALSE,Lost Laptop,Area 13,FALSE,WAK01,Major,ROI,Balfour Beatty Group Ltd.,Gregory Bieber  ,Van Fessenden  ,42,1.75
18/05/2013,TRUE,08:36,FALSE,Brief Descriptions,Area 4,FALSE,WAK01,None,N&T,HSBC,Jonathan Wray  ,Pablo Gowers  ,138,5.75
13/10/2014,FALSE,12:05,TRUE,Unsecured PM Document,Canteen,FALSE,BSN02,Major,"Commercial, Legal",Specsavers,Stanley Bosch  ,Bob Luthy  ,191,7.96
07/04/2014,FALSE,22:01,FALSE,Stolen RHD,Area 12,FALSE,SWN03,Minor,MIS,British American Tobacco Plc,Cecil Royse  ,Octavio Angert  ,139,5.79
31/05/2015,TRUE,16:29,FALSE,Stolen USB drive,Area 4,FALSE,BRA01,Significant,Private Sector,KFC,Harry Hoke  ,Mary Clowers  ,172,7.17
29/11/2013,FALSE,03:14,FALSE,Stolen RHD,Office 20,TRUE,STE04,Significant,HR,Police Service of Northern Ireland,Van Vautour  ,Raymon Currie  ,170,7.08
27/01/2014,FALSE,04:22,FALSE,Stolen Laptop,Area 4,FALSE,CRE02,None,N&T,Post Office Ltd,Ethan Singer  ,Douglass Dill  ,25,1.04
17/09/2012,FALSE,16:47,TRUE,Stolen USB drive,Office 17,TRUE,MAN34,None,DNS,Home Group Limited,Wallace Truett  ,Sterling Raske  ,35,1.46
22/09/2014,FALSE,09:49,TRUE,Unsecured PM Document,Office 6,TRUE,STE04,None,Business Operations,Electricity Supply Board,China Thurlow  ,Leonardo Mcclane  ,241,10.04
21/05/2013,FALSE,18:05,TRUE,Stolen Laptop,Office 20,TRUE,STE10,Significant,HR,Dublin City Council,Danyelle Golub  ,Lyle Griswold  ,91,3.79
01/02/2013,FALSE,12:28,TRUE,Lost Desktop,Office 10,TRUE,WAK01,Significant,MIS,Southeastern,Jacqueline Schoepp  ,Bob Luthy  ,89,3.71
20/02/2012,FALSE,01:10,FALSE,Suspicious Character,Area 1,FALSE,SOL20,Minor,HMRC,Post Office Ltd,Fallon Planas  ,Damion Hope  ,20,0.83
01/07/2014,FALSE,20:02,FALSE,Stolen Laptop,Area 15,FALSE,SOL10,None,Business Operations,PZ Cussons,Lucio Siniard  ,Rueben Bosarge  ,21,0.88
17/08/2015,FALSE,10:03,TRUE,Lost Laptop,Office 18,TRUE,EDI06,Significant,DNS,Highland Council,Santina Mayr  ,Pablo Gowers  ,37,1.54
22/06/2016,FALSE,10:26,TRUE,Tailgating,Office 16,TRUE,WAR08,Major,DNS,Post Office Ltd,Gregory Bieber  ,Lyle Griswold  ,5,0.21
08/10/2017,TRUE,03:26,FALSE,Suspicious Character,Area 2,FALSE,TEL15,None,Private Sector,Cabinet Office,Nick Carter  ,Silas Wand  ,49,2.04
22/04/2014,FALSE,00:37,FALSE,Unauthorised Access,Office 2,TRUE,BSN02,None,Private Sector,Virgin Money,Cher Welter  ,Mitch Landa  ,52,2.17
07/04/2015,FALSE,09:17,TRUE,Broken Window,Area 2,FALSE,EDI06,None,Other (specify),Reading Borough Council,Marisa Anchondo  ,Damion Hope  ,67,2.79
25/09/2015,FALSE,09:45,TRUE,Suspicious Character,Office 14,TRUE,MAN34,None,Public Sector,UK Border Agency,Raphael Arledge  ,Lyle Griswold  ,126,5.25
22/10/2015,FALSE,01:59,FALSE,Lost Desktop,Office 7,TRUE,MAN34,Minor,MIS,Whitbread Group Plc,Arlena Pierpont  ,Rueben Bosarge  ,175,7.29
19/01/2016,FALSE,01:12,FALSE,Lost RHD,Office 15,TRUE,WAR08,Minor,HR,Balfour Beatty Group Ltd.,Babette Garriott  ,Quinton Claudio  ,38,1.58
07/04/2016,FALSE,03:23,FALSE,Stolen Peripheral,Office 15,TRUE,MAN34,None,DNS,PZ Cussons,Raphael Arledge  ,Lyle Griswold  ,17,0.71
09/05/2014,FALSE,18:27,TRUE,Stolen RHD,Area 5,FALSE,SOL10,None,Public Sector,HPC Wales,Julius Huntsberry  ,Mary Clowers  ,92,3.83
10/10/2014,FALSE,08:15,TRUE,Lost RHD,Area 1,FALSE,WAR03,None,HMRC,Primark,Ethan Singer  ,Rueben Bosarge  ,32,1.33
05/03/2015,FALSE,03:36,FALSE,Stolen Peripheral,Office 19,TRUE,EDI06,Minor,Private Sector,Reading Borough Council,Migdalia Schmitt  ,Raymon Currie  ,58,2.42
25/12/2011,TRUE,19:21,FALSE,Unauthorised Access,Office 13,TRUE,MAN34,None,TPG,British American Tobacco Plc,Chantel Lemaire  ,Octavio Angert  ,40,1.67
15/10/2014,FALSE,13:33,TRUE,Brief Descriptions,Office 15,TRUE,BRA01,Significant,Marketing,High Speed 2 Ltd.,Jonathan Wray  ,Octavio Angert  ,51,2.13
25/01/2014,TRUE,09:23,FALSE,Stolen Laptop,Office 7,TRUE,CRE02,Major,Business Operations,Primark,Darline Goodwill  ,Bob Luthy  ,106,4.42
20/03/2014,FALSE,08:33,TRUE,Lost USB drive,Office 18,TRUE,EDI06,None,MIS,Bridgestone UK,Felicidad Vose  ,Jamal Lacross  ,230,9.58
20/02/2016,TRUE,10:51,FALSE,Lost Peripheral,Area 6,FALSE,TEL15,Significant,ROI,Highland Council,China Thurlow  ,Mitch Landa  ,174,7.25
16/09/2014,FALSE,22:02,FALSE,Stolen Laptop,Office 14,TRUE,STE04,Minor,Finance & Strategy,Southeastern,Migdalia Schmitt  ,Raymon Currie  ,202,8.42
13/10/2014,FALSE,08:08,TRUE,Staff with no pass,Office 12,TRUE,EDI06,None,Private Sector,Southeastern,Marlin Southwood  ,Dewayne Robichaux  ,137,5.71
24/07/2012,FALSE,16:42,TRUE,Lost Desktop,Office 13,TRUE,SOL10,Major,Public Sector,Dublin City Council,Lucio Siniard  ,Pasquale Sonntag  ,100,4.17
17/08/2015,FALSE,21:56,FALSE,Brief Descriptions,Canteen,FALSE,WAR08,Major,MIS,Southeastern,Cecil Royse  ,Dewayne Robichaux  ,86,3.58
28/11/2015,TRUE,08:00,FALSE,Unsecured Cabinet,Office 18,TRUE,SOL20,Major,HR,Post Office Ltd,Suzan Bogert  ,Mitch Landa  ,0,0
01/03/2013,FALSE,16:22,TRUE,Unsecured PM Document,Area 2,FALSE,EDI06,Significant,BAS,Vodafone Plc Government,Julius Huntsberry  ,Silas Wand  ,67,2.79
03/03/2015,FALSE,08:01,TRUE,Lost Peripheral,Area 4,FALSE,MAN35,Minor,N&T,Environment Agency,Jacob Carillo  ,Pasquale Sonntag  ,183,7.63
05/08/2015,FALSE,18:01,TRUE,Stolen RHD,Office 8,TRUE,WAR03,None,Marketing,Dublin City Council,Julius Huntsberry  ,Silas Wand  ,22,0.92
05/09/2013,FALSE,01:20,FALSE,Lost Peripheral,Area 9,FALSE,STE10,Significant,Marketing,Ford Motor Company ltd,Gregory Bieber  ,Douglass Dill  ,152,6.33
10/04/2014,FALSE,03:40,FALSE,Tailgating,Area 6,FALSE,WAR03,Minor,Public Sector,UK Border Agency,Will Stahly  ,Pablo Gowers  ,26,1.08
12/08/2015,FALSE,16:08,TRUE,Lost RHD,Office 5,TRUE,BRA07,None,Private Sector,KFC,Ethan Singer  ,Raymon Currie  ,33,1.38
27/11/2013,FALSE,19:37,FALSE,Stolen Desktop,Office 9,TRUE,STE04,Significant,N&T,Southeastern,Wynona Tonkin  ,Silas Wand  ,178,7.42
21/01/2014,FALSE,00:10,FALSE,Stolen Peripheral,Office 11,TRUE,WAR03,Major,MIS,Dublin City Council,Wallace Truett  ,Sterling Raske  ,98,4.08
17/05/2014,TRUE,13:57,FALSE,Broken Window,Area 2,FALSE,BSN01,Significant,HR,Ministry of Defence - MoD,Irma Zamorano  ,Pablo Gowers  ,35,1.46
08/12/2014,FALSE,21:33,FALSE,Unsecured PM Document,Office 19,TRUE,WAK01,None,Marketing,Post Office Ltd,Irma Zamorano  ,Bob Luthy  ,96,4
09/01/2016,TRUE,04:03,FALSE,Lost Laptop,Office 1,TRUE,MAN34,Minor,MIS,Post Office Ltd,Lucio Siniard  ,Jamal Lacross  ,233,9.71
31/07/2017,FALSE,15:51,TRUE,Lost Peripheral,Office 16,TRUE,STE04,Major,N&T,Heathrow Airport Limited,Cecille Haubert  ,Silas Wand  ,208,8.67
27/03/2015,FALSE,23:07,FALSE,Stolen Laptop,Area 1,FALSE,STE10,Minor,BAS,British American Tobacco Plc,Ursula Bradberry  ,Silas Wand  ,100,4.17
01/11/2014,TRUE,06:45,FALSE,Lost USB drive,Office 1,TRUE,WAR08,Minor,TPG,NI Education & Library Boards,Tim Pinckard  ,Leonardo Mcclane  ,126,5.25
30/04/2016,TRUE,15:30,FALSE,Lost Peripheral,Office 12,TRUE,MAN35,None,Finance & Strategy,HM Treasury,Julius Huntsberry  ,Damion Hope  ,65,2.71
07/08/2014,FALSE,16:47,TRUE,Unauthorised Access,Office 8,TRUE,EDI06,Minor,Business Operations,Ministry of Defence - MoD,Renato Boos  ,Douglass Dill  ,172,7.17
03/03/2015,FALSE,18:32,TRUE,Lost RHD,Area 7,FALSE,SOL10,Minor,HR,Scottish Water,Babette Garriott  ,Octavio Angert  ,93,3.88
22/10/2015,FALSE,01:05,FALSE,Tailgating,Canteen,FALSE,LON22,Significant,ROI,PZ Cussons,Len Clyburn  ,Bob Luthy  ,64,2.67
19/06/2014,FALSE,22:37,FALSE,Lost USB drive,Office 17,TRUE,BSN01,Major,HMRC,Primark,Adele Flower  ,Raymon Currie  ,24,1
27/05/2013,FALSE,13:11,TRUE,Stolen USB drive,Office 16,TRUE,SOL20,None,ROI,PZ Cussons,Wynona Tonkin  ,Mary Clowers  ,99,4.13
16/03/2015,FALSE,01:55,FALSE,Stolen Laptop,Office 18,TRUE,STE04,Major,ROI,Primark,Vance Mcmanis  ,Rueben Bosarge  ,4,0.17
25/01/2016,FALSE,13:36,TRUE,Staff with no pass,Office 17,TRUE,BSN01,Major,Private Sector,KFC,Kiera Lickteig  ,Pasquale Sonntag  ,2,0.08
02/11/2014,TRUE,21:20,FALSE,Lost Laptop,Canteen,FALSE,WAR08,None,Finance & Strategy,G4S Plc,Chet Swedberg  ,Silas Wand  ,31,1.29
18/10/2014,TRUE,18:48,FALSE,Lost Peripheral,Office 4,TRUE,WAR08,Minor,N&T,NI Water,Bret Orosz  ,Leonardo Mcclane  ,19,0.79
30/04/2013,FALSE,06:06,FALSE,Stolen Desktop,Area 12,FALSE,STE04,Minor,N&T,Highland Council,Ethan Singer  ,Rueben Bosarge  ,84,3.5
07/04/2016,FALSE,14:25,TRUE,Suspicious Character,Office 1,TRUE,SOL20,Major,HMRC,Dublin City Council,Lucio Siniard  ,Raul Holmquist  ,16,0.67
13/08/2014,FALSE,06:43,FALSE,Lost Laptop,Office 14,TRUE,MAN35,None,Private Sector,Reading Borough Council,Raphael Arledge  ,Lyle Griswold  ,64,2.67
29/03/2012,FALSE,04:57,FALSE,Unsecured PM Document,Area 16,FALSE,LON22,None,MIS,McDonalds Restaurants Ltd.,Shila Bentler  ,Rueben Bosarge  ,50,2.08
12/05/2015,FALSE,18:42,TRUE,Stolen Desktop,Unknown,FALSE,SOL10,Significant,Marketing,Office for National Statistics,Chae Sather  ,Douglass Dill  ,44,1.83
30/06/2013,TRUE,06:12,FALSE,Lost Laptop,Area 6,FALSE,EDI06,Minor,Unknown,UK Border Agency,Alva Cha  ,Leonardo Mcclane  ,45,1.88
01/06/2013,TRUE,08:22,FALSE,Lost USB drive,Office 16,TRUE,WAR08,None,N&T,McDonalds Restaurants Ltd.,Jacob Carillo  ,Dewayne Robichaux  ,30,1.25
12/06/2013,FALSE,14:46,TRUE,Stolen USB drive,Office 15,TRUE,SWN03,None,ROI,Police Service of Northern Ireland,Bret Orosz  ,Pablo Gowers  ,67,2.79
07/06/2015,TRUE,20:42,FALSE,Stolen Desktop,Area 10,FALSE,BSN01,Significant,MIS,HPC Wales,Jacqueline Schoepp  ,Bob Luthy  ,60,2.5
11/10/2015,TRUE,18:58,FALSE,Stolen USB drive,Office 5,TRUE,BRA07,Major,ROI,Heathrow Airport Limited,Jacob Carillo  ,Damion Hope  ,72,3
